Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CA,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
4/11/2019,34.36000061,20.88999939,271.8999939,111.8199997,161.6699982,171.8800049,19.97999954,27.79000092,67.08000183,109.3300018,76.26999664,28.93000031,82.23999786,,185.2899933,297.8500061,64.56999969,28.69000053,125.8099976,23.78000069,30.27000046,160.7299957,43.97999954,44.77999878,74.19000244,47.61904907,111.8499985,10.85000038,38.45999908,31.19000053,95.80999756,54.36999893,100.5800018,82.98000336,18.47999954,20,3.559999943,42.02000046,28.62999916,55.79999924,21.87000084,154.3300018,5.96999979,29.75,143.1300049,27.51000023,91.69999695,22.46999931,36.72000122,47.52000046,89.81999969,29.54999924,191.3099976,84.84999847,46.98500061,9.590000153,58.59000015,394,148.8600006,22.63999939
4/12/2019,34.02000046,21.45000076,271.8599854,114.2099991,163.3099976,171.8699951,20.20000076,27.85000038,67.08999634,109.6699982,76.45999908,29.37999916,82.80000305,,186.4499969,297.6199951,64.98000336,28.78000069,130.3999939,23.78000069,29.90999985,160.7100067,44.72000122,44.70999908,74.29000092,47.61904907,112.1800003,10.86999989,38.36000061,31.12000084,97.12999725,54.34999847,101.8300018,83.87999725,18.52000046,20.27000046,3.589999914,41.5,28.45999908,56.41999817,21.79000092,156.3999939,5.46999979,30.28000069,144.1199951,27.79999924,93.22000122,22.38999939,36.66999817,47.61999893,90.23999786,29.39999962,194.0800018,85.65000153,47.68000031,9.569999695,58.15999985,380,152.2400055,23.73999977
4/15/2019,34.45999908,21.39999962,272.2200012,112.9400024,163.6799927,172.7700043,19.95999908,27.32999992,67.76999664,109.9899979,76.29000092,29.30999947,82.26000214,,186.8399963,294.8599854,65.05999756,28.30999947,131.5700073,23.51000023,30.34000015,160.0899963,44.72999954,44.5,74.31999969,47.61904907,112.3300018,10.89000034,38.49000168,29.89999962,96.79000092,54.09999847,97.84999847,83.61000061,18.45000076,20,3.569999933,40.95000076,28.54999924,56.27999878,21.94000053,155.6199951,4.989999771,30.27000046,144.0599976,27.60000038,93.45999908,22.75,37.18999863,47.43999863,88.98999786,29.43000031,192.8099976,85.94000244,47.79999924,9.680000305,58.20000076,385,151.5700073,23.70999908
4/16/2019,34.50999832,21.60000038,271.4299927,114.5999985,162.1399994,172.6699982,19.63999939,27.93000031,67.56999969,109.9700012,77.30000305,29.71999931,78.91999817,,186.9499969,300.8399963,64.69999695,27.78000069,130.0700073,23.69000053,30.22999954,158.6900024,46.22000122,44.38999939,71.90000153,47.37103271,112.6999969,11.07999992,39.20000076,29.95999908,97.48999786,54.34000015,93.83000183,84.15000153,18.54999924,20,3.559999943,40.56999969,28.05999947,56.70999908,22.29999924,157.75,4.909999847,30.89999962,143.8399963,27.93000031,94.5,22.86000061,36.79000092,47.49000168,89.83000183,29.40999985,194.6199951,86.56999969,48.88499832,9.710000038,58.81000137,385,154.8000031,24.01000023
4/17/2019,33.70999908,21.82999992,269.4500122,114.4000015,162.8500061,168.0299988,19.36000061,27.48999977,68.45999908,108.2900009,77.48000336,29.79000092,78.25,,186.2899933,310.5,63.97000122,24,129.5299988,23.75,29.06999969,155.3399963,46.83000183,44.45000076,72.15000153,47.37103271,110.5299988,11,37.81000137,28.12000084,96.80000305,54.27999878,91.94999695,84.43000031,18.31999969,20,3.599999905,40,26.93000031,58.56000137,22.51000023,156.1499939,4.880000114,30.87999916,143.8300018,27.88999939,95.37999725,22.31999969,36.45000076,47.36999893,89.69999695,28.84000015,196.2899933,86.94999695,49.63499832,9.359999657,58.54999924,382,155.0899963,24.87000084
4/18/2019,33.97000122,21.67000008,270.5700073,114.7900009,162.4400024,169.1999969,18.95000076,27.68000031,68.56999969,108.4199982,75.68000031,29.54999924,78.97000122,,186.3200073,308.6600037,63.36999893,23.29999924,119.9899979,23.64999962,29.32999992,155.9900055,47.18000031,43.81000137,71.33999634,47.37103271,112.3899994,10.89000034,37.18000031,28,97.77999878,54.06000137,93.13999939,85.20999908,18.29999924,19.92000008,3.569999933,39.86000061,27.09000015,58.49000168,22.64999962,158.3300018,4.920000076,31.13999939,143.5,28.01000023,96.44000244,22.32999992,36.59000015,47.45000076,91.51000214,28.12000084,194.7700043,97.04000092,49.35499954,9.43999958,58.63999939,383,153.9100037,24.85000038
4/22/2019,34.15999985,21.40999985,272.2099915,113.6100006,161.9100037,172.1499939,18.76000023,28.18000031,67.58999634,110.1699982,75.76999664,29.22999954,79.01999664,,187.5099945,309.8099976,64.20999908,23.78000069,118.3499985,23.27000046,29.52000046,158.7599945,46.81000137,43.79000092,71.48000336,47.37103271,112.1600037,10.81999969,36.34999847,27.96999931,96.34999847,54.08000183,92.51999664,84.94000244,18.25,19.75,3.730000019,39.31000137,27.20000076,58.81999969,22.45999908,157.1900024,4.989999771,30.75,144.5,27.90999985,96.19999695,22.20999908,36.52000046,46.81000137,87.26000214,28.54999924,195.2200012,95.93000031,48.79999924,9.359999657,58.90000153,382,153.3500061,24.84000015
4/23/2019,34.97000122,21.27000046,278.4899902,114.1100006,165.0399933,175.2799988,19.10000038,27.96999931,68.30000305,112.1100006,77.40000153,29.61000061,80.69999695,,190.4199982,316.25,66.69999695,24.01000023,118.5199966,23.65999985,29.86000061,161.2299957,47.13999939,44.97999954,72.84999847,47.38095093,114.6699982,11.10999966,37.11999893,28.26000023,97.58999634,54.20999908,94.62999725,85.58999634,18.52000046,20.13999939,3.75999999,40.13000107,25.79999924,58.77999878,22.47999954,157.9299927,4.940000057,30.98999977,146.3699951,28.36000061,98.40000153,22.62999916,37.34999847,46.95000076,87.26000214,28.79000092,194.7799988,97.16000366,49.08000183,9.649999619,60.06000137,380,154.6999969,25.12000084
4/24/2019,34.75999832,21.45000076,275.4500122,117.2900009,163.5,176.3099976,19.03000069,28.45999908,67.95999908,114.5100021,76,30.03000069,79.98999786,,190.5899963,321.5400085,67.65000153,24.61000061,118.1900024,23.63999939,29.97999954,159.5599976,48.00999832,45,72.66999817,47.38095093,114.1200027,11.02999973,37.74000168,29.86000061,97.26000214,53.95999908,94.15000153,85.33999634,18.69000053,19.51000023,3.599999905,39.5,26.25,58.72000122,22.54000092,156.8099976,4.769999981,30.95000076,146.8399963,28.71999931,99.09999847,23,37.02999878,46.97000122,88.40000153,28.80999947,195.4400024,95.55000305,49.41999817,9.68999958,60.45000076,382,157.5299988,25.46999931
4/25/2019,34.45000076,21.05999947,277.6600037,115.0199966,163.8600006,175.3200073,18.87999916,27.65999985,63.24000168,118.5100021,73.90000153,27.04000092,79.23000336,,187.75,310.0400085,67.48999786,24.12000084,119.1500015,22.86000061,30.11000061,163.0899963,47.40000153,44.29000092,72.93000031,47.38095093,113.5299988,10.84000015,36.54999924,30.78000069,96.22000122,54.04999924,92.98000336,83.80000305,18.36000061,19.29999924,3.5,38.20000076,25.88999939,57.61000061,22.28000069,151.2100067,4.78000021,30.36000061,147.3000031,28.11000061,97.68000031,22.56999969,36.22000122,45.81999969,86.73999786,28.61000061,205.0800018,94.55999756,48.74000168,9.609999657,60.54000092,372,155.7400055,25.39999962
