,date,ticker,marketcap
745,3/25/2021,ACIW,4387.6
746,3/24/2021,ACIW,4337.8
747,3/23/2021,ACIW,4357.7
748,3/22/2021,ACIW,4544
749,3/19/2021,ACIW,4608.4
750,3/18/2021,ACIW,4595.5
751,3/17/2021,ACIW,4638.8
752,3/16/2021,ACIW,4681
753,3/15/2021,ACIW,4741.3
754,3/12/2021,ACIW,4766.5
755,3/11/2021,ACIW,4765.4
756,3/10/2021,ACIW,4648.2
757,3/9/2021,ACIW,4634.2
758,3/8/2021,ACIW,4540.4
759,3/5/2021,ACIW,4485.4
760,3/4/2021,ACIW,4317.9
761,3/3/2021,ACIW,4411.6
762,3/2/2021,ACIW,4510
763,3/1/2021,ACIW,4610.7
764,2/26/2021,ACIW,4481.9
765,2/25/2021,ACIW,4406.9
766,2/24/2021,ACIW,4837.4
767,2/23/2021,ACIW,4840.9
768,2/22/2021,ACIW,4933.2
769,2/19/2021,ACIW,4954.2
770,2/18/2021,ACIW,4979.9
771,2/17/2021,ACIW,5032.4
772,2/16/2021,ACIW,4828.1
773,2/12/2021,ACIW,4824.6
774,2/11/2021,ACIW,4811.7
775,2/10/2021,ACIW,4808.2
776,2/9/2021,ACIW,4840.9
777,2/8/2021,ACIW,4788.4
778,2/5/2021,ACIW,4732.3
779,2/4/2021,ACIW,4699.7
780,2/3/2021,ACIW,4628.4
781,2/2/2021,ACIW,4655.3
782,2/1/2021,ACIW,4622.6
783,1/29/2021,ACIW,4482.5
784,1/28/2021,ACIW,4526.8
785,1/27/2021,ACIW,4438.1
786,1/26/2021,ACIW,4592.2
787,1/25/2021,ACIW,4614.4
788,1/22/2021,ACIW,4705.5
789,1/21/2021,ACIW,4728.8
790,1/20/2021,ACIW,4510.5
791,1/19/2021,ACIW,4472
792,1/15/2021,ACIW,4489.5
793,1/14/2021,ACIW,4462.6
794,1/13/2021,ACIW,4495.3
795,1/12/2021,ACIW,4553.7
796,1/11/2021,ACIW,4508.2
797,1/8/2021,ACIW,4578.2
798,1/7/2021,ACIW,4570
799,1/6/2021,ACIW,4510.5
800,1/5/2021,ACIW,4436.9
801,1/4/2021,ACIW,4422.9
802,12/31/2020,ACIW,4487.1
803,12/30/2020,ACIW,4494.2
804,12/29/2020,ACIW,4418.8
805,12/28/2020,ACIW,4462.6
806,12/24/2020,ACIW,4498.8
807,12/23/2020,ACIW,4438.1
808,12/22/2020,ACIW,4431.1
809,12/21/2020,ACIW,4447.4
810,12/18/2020,ACIW,4500
811,12/17/2020,ACIW,4552.5
812,12/16/2020,ACIW,4510.5
813,12/15/2020,ACIW,4550.2
814,12/14/2020,ACIW,4589.3
815,12/11/2020,ACIW,4586.4
816,12/10/2020,ACIW,4577.1
817,12/9/2020,ACIW,4515.2
818,12/8/2020,ACIW,4589.9
819,12/7/2020,ACIW,4482.5
820,12/4/2020,ACIW,4535
821,12/3/2020,ACIW,4429.9
822,12/2/2020,ACIW,4324.8
823,12/1/2020,ACIW,3902.2
824,11/30/2020,ACIW,3804.1
825,11/27/2020,ACIW,3869.5
826,11/25/2020,ACIW,3873.6
827,11/24/2020,ACIW,3787.7
828,11/23/2020,ACIW,3758.6
829,11/20/2020,ACIW,3751.5
830,11/19/2020,ACIW,3599.8
831,11/18/2020,ACIW,3626.6
832,11/17/2020,ACIW,3716.5
833,11/16/2020,ACIW,3788.9
834,11/13/2020,ACIW,3710.7
835,11/12/2020,ACIW,3654.6
836,11/11/2020,ACIW,3802.9
837,11/10/2020,ACIW,3967.6
838,11/9/2020,ACIW,3983.9
839,11/6/2020,ACIW,3862.5
840,11/5/2020,ACIW,3822.8
841,11/4/2020,ACIW,3583.6
842,11/3/2020,ACIW,3490.5
843,11/2/2020,ACIW,3384.6
844,10/30/2020,ACIW,3395.1
845,10/29/2020,ACIW,3423
846,10/28/2020,ACIW,3412.5
847,10/27/2020,ACIW,3597.6
848,10/26/2020,ACIW,3670.9
849,10/23/2020,ACIW,3740.7
850,10/22/2020,ACIW,3672.1
851,10/21/2020,ACIW,3605.7
852,10/20/2020,ACIW,3594.1
853,10/19/2020,ACIW,3666.3
854,10/16/2020,ACIW,3669.7
855,10/15/2020,ACIW,3606.9
856,10/14/2020,ACIW,3587.1
857,10/13/2020,ACIW,3573.1
858,10/12/2020,ACIW,3576.6
859,10/9/2020,ACIW,3501
860,10/8/2020,ACIW,3492.8
861,10/7/2020,ACIW,3400.9
862,10/6/2020,ACIW,3214.7
863,10/5/2020,ACIW,3253.1
864,10/2/2020,ACIW,3172.2
865,10/1/2020,ACIW,3125
866,9/30/2020,ACIW,3041.2
867,9/29/2020,ACIW,2986.5
868,9/28/2020,ACIW,2991.2
869,9/25/2020,ACIW,2937.7
870,9/24/2020,ACIW,2901.6
871,9/23/2020,ACIW,2878.3
872,9/22/2020,ACIW,2922.5
873,9/21/2020,ACIW,2919
874,9/18/2020,ACIW,2964.4
875,9/17/2020,ACIW,3097.1
876,9/16/2020,ACIW,3089
877,9/15/2020,ACIW,3118.1
878,9/14/2020,ACIW,3048.2
879,9/11/2020,ACIW,2870.2
880,9/10/2020,ACIW,2815.4
881,9/9/2020,ACIW,2899.2
882,9/8/2020,ACIW,3262.4
883,9/4/2020,ACIW,3387.5
884,9/3/2020,ACIW,3378.8
885,9/2/2020,ACIW,3520.8
886,9/1/2020,ACIW,3490.5
887,8/31/2020,ACIW,3419.5
888,8/28/2020,ACIW,3471.9
889,8/27/2020,ACIW,3459.1
890,8/26/2020,ACIW,3489.3
891,8/25/2020,ACIW,3519.6
892,8/24/2020,ACIW,3491.7
893,8/21/2020,ACIW,3457.9
894,8/20/2020,ACIW,3482.4
895,8/19/2020,ACIW,3560.3
896,8/18/2020,ACIW,3589.4
897,8/17/2020,ACIW,3603.4
898,8/14/2020,ACIW,3572
899,8/13/2020,ACIW,3584.2
900,8/12/2020,ACIW,3632.5
901,8/11/2020,ACIW,3577.8
902,8/10/2020,ACIW,3548.7
903,8/7/2020,ACIW,3549.9
904,8/6/2020,ACIW,3601.1
905,8/5/2020,ACIW,3296.3
906,8/4/2020,ACIW,3183.8
907,8/3/2020,ACIW,3151.4
908,7/31/2020,ACIW,3106.2
909,7/30/2020,ACIW,3174.6
910,7/29/2020,ACIW,3220.9
911,7/28/2020,ACIW,3105
912,7/27/2020,ACIW,3166.5
913,7/24/2020,ACIW,3153.1
914,7/23/2020,ACIW,3221.5
915,7/22/2020,ACIW,3216.3
916,7/21/2020,ACIW,3201.2
917,7/20/2020,ACIW,3154.3
918,7/17/2020,ACIW,3140.9
919,7/16/2020,ACIW,3113.1
920,7/15/2020,ACIW,3156
921,7/14/2020,ACIW,3004.1
922,7/13/2020,ACIW,2948.5
923,7/10/2020,ACIW,2982.1
924,7/9/2020,ACIW,2909.1
925,7/8/2020,ACIW,2938
926,7/7/2020,ACIW,2932.2
927,7/6/2020,ACIW,3055.1
928,7/2/2020,ACIW,3105
929,7/1/2020,ACIW,3130.5
930,6/30/2020,ACIW,3129.4
931,6/29/2020,ACIW,3066.7
932,6/26/2020,ACIW,3044.7
933,6/25/2020,ACIW,3121.2
934,6/24/2020,ACIW,3073.7
935,6/23/2020,ACIW,3176.9
936,6/22/2020,ACIW,3179.2
937,6/19/2020,ACIW,3146.2
938,6/18/2020,ACIW,3146.7
939,6/17/2020,ACIW,3172.3
940,6/16/2020,ACIW,3218.6
941,6/15/2020,ACIW,3151.4
942,6/12/2020,ACIW,3070.2
943,6/11/2020,ACIW,2987.9
944,6/10/2020,ACIW,3247.6
945,6/9/2020,ACIW,3280.1
946,6/8/2020,ACIW,3371.7
947,6/5/2020,ACIW,3357.8
948,6/4/2020,ACIW,3218.6
949,6/3/2020,ACIW,3276.6
950,6/2/2020,ACIW,3203.6
951,6/1/2020,ACIW,3215.2
952,5/29/2020,ACIW,3197.8
953,5/28/2020,ACIW,3073.7
954,5/27/2020,ACIW,3171.1
955,5/26/2020,ACIW,3101.5
956,5/22/2020,ACIW,3036.6
957,5/21/2020,ACIW,3005.3
958,5/20/2020,ACIW,3066.7
959,5/19/2020,ACIW,2918.3
960,5/18/2020,ACIW,2970.5
961,5/15/2020,ACIW,2822.1
962,5/14/2020,ACIW,2767.6
963,5/13/2020,ACIW,2757.2
964,5/12/2020,ACIW,2858
965,5/11/2020,ACIW,3028.5
966,5/8/2020,ACIW,3130.5
967,5/7/2020,ACIW,3115.4
968,5/6/2020,ACIW,3055.4
969,5/5/2020,ACIW,3146
970,5/4/2020,ACIW,3086.7
971,5/1/2020,ACIW,3075.1
972,4/30/2020,ACIW,3182
973,4/29/2020,ACIW,3258.6
974,4/28/2020,ACIW,3060.6
975,4/27/2020,ACIW,3092.6
976,4/24/2020,ACIW,2803.4
977,4/23/2020,ACIW,2815
978,4/22/2020,ACIW,2846.4
979,4/21/2020,ACIW,2794.1
980,4/20/2020,ACIW,2995
981,4/17/2020,ACIW,3020.6
982,4/16/2020,ACIW,2783.6
983,4/15/2020,ACIW,2824.3
984,4/14/2020,ACIW,2940.4
985,4/13/2020,ACIW,2975.3
986,4/9/2020,ACIW,3177.3
987,4/8/2020,ACIW,3008.9
988,4/7/2020,ACIW,2804.5
989,4/6/2020,ACIW,2723.3
990,4/3/2020,ACIW,2525.8
991,4/2/2020,ACIW,2579.3
992,4/1/2020,ACIW,2608.3
993,3/31/2020,ACIW,2804.5
994,3/30/2020,ACIW,2741.8
995,3/27/2020,ACIW,2690.7
996,3/26/2020,ACIW,2905.6
