Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
2019-05-06,536100,299000,1994500,2247800,1328200,1271000,43900,70344100,200300,392700,41400,273100,253600,232900,10430,1628900,185600,923400,129600,291088.0,2520600,898300,221700,10181700,706.0,293400,2071600,596300,500900,1018900,1014800,4413700,1828500,486700,10200,3300,127800,91500,26245200,2082300,816000,63500,788400,292700,2417000,44800,209300,78200,193900,264100,928300,1283000,441300,7532400,3128800,159800,93,473200,8585500
2019-05-07,321300,361000,2568000,2965400,2132300,1725400,42700,75868800,231700,465500,29600,212800,250500,203500,14330,2380700,206800,1288100,87100,193373.0,6541900,741500,134400,10533200,2822.0,183600,2656600,637200,303800,1358400,1024200,7090900,2654600,314200,8400,3500,146600,95500,29713400,3611500,1661300,61900,1350600,652800,2744900,127400,172000,82900,271500,175200,859000,2934200,536600,11424800,2266400,70900,153,296400,14175000
2019-05-08,788800,770600,2610800,3819500,1410200,1097200,67400,65967500,255600,347800,20400,271000,179400,151300,10439,1696500,241000,729200,91700,160769.0,4061300,477300,223900,8371200,10282.0,259900,11665200,1209900,412400,1206300,495500,17468500,2822500,342800,6700,47600,124800,191800,36812400,3266700,1009600,71200,527300,432800,4625000,58200,221500,191700,226300,207000,550200,1555100,435100,8452600,1258500,176900,29,271800,7784400
2019-05-09,1212100,555600,1866800,3408800,1604800,1267600,60000,73150900,124500,529800,24900,217000,215300,142400,8665,1717200,82700,750600,103100,86212.0,5809300,581400,157500,9168200,101.0,343900,4972500,637700,330100,753900,514300,5159100,1957800,365700,5200,1900,149900,93700,59642200,4178100,1421800,63300,1279900,418700,3860400,57500,424600,104500,325300,254000,628800,1939000,384300,9035200,1121300,142600,165,331900,9471000
2019-05-10,974800,478200,2097500,2422000,1661500,1302200,80200,82930100,205400,566100,31800,444200,216500,161100,9465,1736900,74200,435300,91600,87919.0,4462200,561600,116000,12089700,101.0,348400,3453800,472900,321700,1081700,448800,3979100,1833200,304500,5700,800,110900,76000,42522800,2821900,1038400,34700,836200,289400,3268100,57300,151800,142800,174400,317500,867000,1756100,550200,6645600,1961300,82600,890,344100,7448600
2019-05-13,1128900,306700,2698300,4900300,1898900,1802100,135400,99017900,218700,406100,39200,349100,198600,122400,8870,1716900,131900,934000,156800,97226.0,5694600,1326700,117700,12267700,0.0,313900,3148500,371400,166700,1094300,814500,3685400,2729600,334800,9700,2200,163000,80300,39091900,2479200,1879100,221800,1315900,595400,6270400,106200,110500,103400,226500,376400,791000,2856300,542300,9680200,1672100,178300,73,493000,14438800
2019-05-14,898600,310600,2046600,2271900,1905000,1339700,62300,82980400,279100,484700,22900,388900,159100,103800,19039,1827200,114700,614700,140800,103344.0,4954000,989000,127400,7946600,403.0,450600,1944200,339900,224100,1087700,709700,5769300,1853500,367400,14900,27000,246900,91200,24706500,1963700,1279400,93500,1044000,555600,2457500,68400,76400,83900,174500,473700,914300,1656300,298500,8457000,960100,113800,76,305300,10021200
2019-05-15,773600,231300,2708600,2305600,2042200,1475000,78000,55689900,345700,313600,25000,232300,135900,169500,14157,2438800,79000,677900,83300,99426.0,7783800,483300,129400,7812100,202.0,226800,2252400,331400,291500,1030400,3558100,4694700,1315300,190500,28300,1600,252500,68000,23407900,2266500,1995900,49900,2101500,438800,3649200,52300,72700,103600,129700,245400,653100,1608700,519100,6792200,2246400,189700,83,182200,7282300
2019-05-16,942500,251600,3413100,4409800,2243800,1261200,67300,67330100,250600,298500,24100,262900,186100,154900,10330,2102300,47800,812300,81500,118542.0,5048100,939500,205500,6956500,4435.0,423300,1394700,368500,186400,670500,1527000,3728600,1419900,159400,12900,800,82400,48000,19954700,1672000,1018300,62700,1226700,407800,3041600,89600,60500,114400,145300,326300,893200,1761200,362700,6276400,2194200,134600,1585,382600,9764700
2019-05-17,585700,225600,2223500,5468000,2101100,1276100,188800,65385400,240200,284700,26300,596300,182100,103900,10387,2045800,96100,546400,150900,112157.0,5314000,869800,216700,8199200,0.0,368600,1668400,420200,136300,722800,989000,3031500,1607800,197700,10500,400,89700,55500,22500400,2401600,1233000,102400,945800,404400,5125400,81400,65800,135800,158500,231300,611500,2444200,547800,4609200,2047900,66800,74,303700,11575700
2019-05-20,370500,226000,2392000,4506000,1593500,1717800,113500,69757400,160000,338900,14500,225100,204500,126100,7122,3520800,78900,590700,118500,140974.0,5437600,1247400,92800,10899400,563.7664233576643,270000,1799000,348200,139000,670100,1386900,3842900,1332800,337000,11800,1100,88100,58100,28675000,1902100,1014600,29600,1592100,368000,4127500,78600,98900,103000,156600,280900,428400,3244100,378400,7699000,1163200,46800,23,360100,17319300
2019-05-21,557700,190200,1793500,4636600,1171800,1478600,168500,46079200,214300,309600,15900,237900,102200,117000,17039,2708800,112200,540400,139000,145597.0,3803100,977400,226900,9828500,504.0,391000,1261500,254900,428600,733600,1645100,3958200,2048100,361900,8600,1200,95200,66600,25543400,2455400,889700,12900,778000,407200,3310800,76200,84100,109000,238800,201700,356600,2031400,867700,5866600,2045200,60800,78,358600,15333800
2019-05-22,971000,212600,1570500,5187100,1098300,1257000,79100,40035300,161700,173300,15600,212900,92600,216600,8965,2697900,56700,540400,65400,104017.0,3170100,513300,175400,9350100,0.0,406400,1253600,231700,219900,1102300,1020200,1831200,1915400,372200,21500,1800,209500,59900,16932500,2215300,872000,24000,792000,363100,2733200,67900,101600,85800,109600,206100,266200,1132500,504200,5479200,894600,218500,237,175400,10739400
2019-05-23,824300,263100,2706400,3387300,1453800,2521800,133900,67809200,430400,353600,26900,236200,124600,171700,12091,2613000,86300,1304800,101400,160085.0,4508200,1169400,150400,9080900,1109.0,437400,1580400,400000,224200,838600,1020300,3072500,2020000,262800,30600,1400,125800,64000,35783900,2754400,1986200,52200,694800,403700,3490700,187100,136800,184300,337400,414200,467500,1849200,566000,5790400,1684500,90000,55,306900,9991500
2019-05-24,611700,222900,1878300,2283100,911900,6108900,69200,39835800,243800,267100,13300,290000,140800,100400,6283,2100300,45900,822800,42200,86444.0,3151700,612500,201300,6435100,202.0,244700,855400,201000,176400,571600,658200,2262600,1661500,225700,43900,1900,86600,38400,27168100,1427400,1041400,23600,1268400,348700,2177300,94100,261100,142100,114600,213000,523700,2138200,551000,3570800,1567200,226300,141,161500,4942700
2019-05-28,673500,312700,2475800,3602400,1425300,3036900,235700,146949600,1186800,295700,19600,282400,419800,152100,16557,3914500,64900,1144400,68500,87918.0,4934100,784500,205700,6931000,0.0,283100,1329700,314800,306900,844300,556800,2729300,1958100,308100,20100,1300,196400,83500,34779900,3578600,3252300,50900,1380600,525700,3090300,74100,137900,110300,232000,273800,339000,2552600,607600,7644800,1478200,94400,17,294600,12785400
2019-05-29,771400,208400,1806000,3051200,1046100,2439300,73800,99969600,755700,306500,21500,233000,263100,156400,40048,2704200,86300,905200,111800,126550.0,4359500,801600,129500,4540500,0.0,209900,1200700,262000,277600,1241600,1249600,1889400,2337900,331600,29700,2300,266700,122600,28450300,2030700,1726400,49400,795500,375500,2762300,70600,154200,278100,213300,247800,458100,2566200,700600,5903400,1823500,290900,42,279700,14232200
2019-05-30,763900,180800,1601100,2099600,743500,1110100,73000,65289100,371300,187500,17800,218600,171300,168200,23322,1360500,53200,1627700,68000,194774.0,4418100,438000,166800,5059700,101.0,219800,790800,270900,428100,554000,1735600,2513500,1265700,215500,11300,2600,216000,92900,21618900,2498200,1480400,12400,651800,256400,2316400,37700,102700,90200,155800,248700,304800,1263000,515100,6416000,1049400,62000,22,298500,12816600
2019-05-31,759600,252500,2526600,2156800,1091900,1862900,78400,68667800,259500,538800,33400,291200,333400,206100,20761,2349300,197000,1050700,145100,113669.0,5326900,547200,145000,5698600,0.0,233600,1188100,330500,303600,1260900,897000,2818700,1840100,312600,51100,3700,113600,108000,25532500,4002700,2070600,21900,1757800,376900,3987100,75800,137200,156700,189100,273400,628100,1576600,560200,8179800,1814500,82500,15,210700,19941300
2019-06-03,1030400,455200,3903400,2900000,2066900,2980100,103000,147532200,644600,435200,36100,272800,380300,175900,26939,2636100,253700,1019300,181200,203695.0,8835200,768000,178400,7308500,0.0,313600,1691200,388600,320900,1497900,603200,3405400,2132100,263800,18700,1600,178700,125400,31155700,2835200,1734300,32800,1069600,444000,3167200,65800,214000,170200,399500,331700,780200,2412600,937300,5377800,2815600,71400,105,483800,10711000
2019-06-04,730300,384500,3750800,3588600,1550800,1877000,135000,107549500,773600,334800,34700,195400,274500,293500,17300,4211600,111800,919600,112100,115811.0,12375100,507100,116500,7812800,3024.0,327400,1649100,551000,183000,967800,955400,2833500,2419000,296600,14400,1900,164000,198800,28094900,3238900,1736100,27600,821900,284700,4618900,39400,153800,87500,293700,239800,573200,2398600,873800,4931000,1753400,130100,319,419600,15107700
2019-06-05,518200,295000,2650400,1785600,1451700,1229200,112700,79481500,463600,616900,36700,203500,245400,186200,16843,2572700,143100,669300,187100,101199.0,12072400,640700,129700,6435300,302.0,216100,1716400,348300,122500,763400,794000,2584000,1747500,167900,8500,1500,149200,99600,20802000,2532000,1006100,17300,959400,346000,5750400,50600,99800,84500,236600,327000,564500,1946800,522800,3939800,1476200,156100,233,275000,10973900
2019-06-06,451700,129300,2211800,1881100,1280800,1236500,46200,131267800,562300,486300,36700,186100,148200,118300,9135,2461700,110400,452400,652100,115180.0,5601200,409900,197500,5228100,0.0,222500,976200,215700,140300,906600,803400,2654200,1626300,136100,14900,100,401800,59100,19076200,2538400,999900,59400,908100,250300,3225100,27700,64500,107000,379600,304600,357300,1589000,632600,3887400,1567000,65900,1704,205100,8467200
2019-06-07,511700,186900,2758900,3046400,1419300,1388900,45400,86841100,205400,690700,37800,239000,137200,188300,6161,1726700,57600,653800,271300,72188.0,7175300,476300,241300,2312100,101.0,194900,1512400,177100,118000,513400,384000,2021500,1739400,162400,9300,2200,195300,134400,24370300,2489700,1273400,22600,472500,258600,2463700,46100,188800,123200,194700,182300,457700,1619400,569000,3794800,711600,141300,596,229600,12180400
2019-06-10,572200,232600,2487700,4179100,1283200,1504300,52000,97668800,250000,349000,28800,294400,250200,190800,6365,2039600,64100,827200,132900,95157.0,29856300,371500,78800,3763700,0.0,164900,1306500,163600,92100,545100,472700,2503200,1424000,221300,8000,1000,203900,71200,20806100,4418000,1126500,35900,662000,210200,2540500,40300,148100,111000,264600,221800,393500,1689000,313800,4620800,1150500,65600,88,412000,14926700
2019-06-11,802800,213200,2969300,2325100,1361600,1363600,101800,82834900,284400,402000,36200,317600,256000,238800,15339,2760000,74400,910900,160500,196976.0,15214300,445400,252500,3043200,0.0,342200,3769500,225300,78400,756900,550200,2097800,1724900,540900,13100,4800,155600,133500,18415500,2811500,1157400,11600,598300,214000,2485500,64000,251800,133000,295800,156500,541700,1477900,650100,4389000,1547800,108500,95,272300,11312700
