date,ticker,marketcap
2021-04-20,FORM,3617.7
2021-04-19,FORM,3721.9
2021-04-16,FORM,3838.5
2021-04-15,FORM,3838.5
2021-04-14,FORM,3802.7
2021-04-13,FORM,3833.8
2021-04-12,FORM,3891.4
2021-04-09,FORM,3953.6
2021-04-08,FORM,3950.5
2021-04-07,FORM,3862.6
2021-04-06,FORM,3930.3
2021-04-05,FORM,3974.6
2021-04-01,FORM,3868.1
2021-03-31,FORM,3507.3
2021-03-30,FORM,3329.3
2021-03-29,FORM,3312.9
2021-03-26,FORM,3529.8
2021-03-25,FORM,3305.9
2021-03-24,FORM,3298.2
2021-03-23,FORM,3284.2
2021-03-22,FORM,3433.4
2021-03-19,FORM,3396.1
2021-03-18,FORM,3428.0
2021-03-17,FORM,3629.4
2021-03-16,FORM,3625.5
2021-03-15,FORM,3519.7
2021-03-12,FORM,3503.4
2021-03-11,FORM,3522.1
2021-03-10,FORM,3357.2
2021-03-09,FORM,3399.6
2021-03-08,FORM,3171.4
2021-03-05,FORM,3337.0
2021-03-04,FORM,3204.1
2021-03-03,FORM,3426.4
2021-03-02,FORM,3520.5
2021-03-01,FORM,3762.3
2021-02-26,FORM,3527.5
2021-02-25,FORM,3485.5
2021-02-24,FORM,3784.9
2021-02-23,FORM,3642.6
2021-02-22,FORM,3689.2
2021-02-19,FORM,3804.4
2021-02-18,FORM,3671.3
2021-02-17,FORM,3778.9
2021-02-16,FORM,3940.6
2021-02-12,FORM,3900.4
2021-02-11,FORM,3744.0
2021-02-10,FORM,3558.3
2021-02-09,FORM,3566.0
2021-02-08,FORM,3579.2
2021-02-05,FORM,3531.2
2021-02-04,FORM,3475.5
2021-02-03,FORM,3296.0
2021-02-02,FORM,3443.8
2021-02-01,FORM,3288.2
2021-01-29,FORM,3162.8
2021-01-28,FORM,3327.7
2021-01-27,FORM,3329.2
2021-01-26,FORM,3586.9
2021-01-25,FORM,3754.9
2021-01-22,FORM,3814.5
2021-01-21,FORM,3740.2
2021-01-20,FORM,3757.2
2021-01-19,FORM,3858.6
2021-01-15,FORM,3778.1
2021-01-14,FORM,3833.8
2021-01-13,FORM,3549.0
2021-01-12,FORM,3594.7
2021-01-11,FORM,3521.2
2021-01-08,FORM,3462.3
2021-01-07,FORM,3519.6
2021-01-06,FORM,3384.2
2021-01-05,FORM,3342.4
2021-01-04,FORM,3304.5
2020-12-31,FORM,3329.2
2020-12-30,FORM,3318.4
2020-12-29,FORM,3254.9
2020-12-28,FORM,3340.8
2020-12-24,FORM,3295.2
2020-12-23,FORM,3239.5
2020-12-22,FORM,3277.4
2020-12-21,FORM,3287.4
2020-12-18,FORM,3326.9
2020-12-17,FORM,3349.4
2020-12-16,FORM,3343.2
2020-12-15,FORM,3396.6
2020-12-14,FORM,3337.0
2020-12-11,FORM,3240.2
2020-12-10,FORM,3312.2
